allVars,nonInteractive,bioset01,bioset02,bioset04,bioset05,bioset06,bioset07
bio01,bio01,bio02,bio07,bio02,bio07,bio05,bio10
bio02,bio02,bio05,bio10,bio05,bio10,bio06,bio11
bio03,bio03,bio06,bio11,bio06,bio11,bio13,bio16
bio04,bio04,bio15,bio15,bio15,bio15,bio14,bio17
bio05,bio05,bio13,bio16,bio16,bio13,,
bio06,bio06,bio14,bio17,bio17,bio14,,
bio07,bio07,,,,,,
bio08,bio10,,,,,,
bio09,bio11,,,,,,
bio10,bio12,,,,,,
bio11,bio13,,,,,,
bio12,bio14,,,,,,
bio13,bio15,,,,,,
bio14,bio16,,,,,,
bio15,bio17,,,,,,
bio16,,,,,,,
bio17,,,,,,,
bio18,,,,,,,
bio19,,,,,,,
